,Date,Country,Sectors,Title,Impact Category,Attack Type,Actor,Certainty,ActorNation
282,13-02-23,United States,Financial,DDoS attack against the website of a US regional pension fund,Disruption,DDoS,Mirai,Possible,Russian Federation
283,13-02-23,Japan,Public administration,DDoS attack against the subdomain of a Japanese ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
284,13-02-23,United Kingdom,Administrative / Support,DDoS attack against the website of a British security company.,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
285,13-02-23,United States,ICT,DDoS attack against the subdomain of a US streaming media company,Disruption,DDoS,Mirai,Possible,Russian Federation
286,13-02-23,Latvia,Public administration,DDoS attack against the Latvian parliament website,Disruption,DDoS,NoName057(16),Possible,Russian Federation
287,13-02-23,Ukraine,Financial,DDoS attack against the website of a Ukrainian bank,Disruption,DDoS,Netside Group,Possible,Russian Federation
288,13-02-23,Russian Federation,Administrative / Support,DDoS attack against the website of a Russian travel agency,Disruption,DDoS,Anonymous Italia,Possible,Italy
289,12-02-23,Ukraine,Unknown,Campaign: Phishing campaign reported by CERT-UA,Data,Malware,UAC-0050,Confirmed,Russian Federation
290,12-02-23,Russian Federation,Arts,DDoS attack against the website of a Russian art studio,Disruption,DDoS,IT Army of Ukraine,Possible,Ukraine
291,12-02-23,Japan,Financial,Campaign: DDoS attack against a subdomain of a Japanese financial holding company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
292,12-02-23,Denmark,Financial,DDoS attack against a subdomain of a Danish bank,Disruption,DDoS,NoName057(16),Possible,Russian Federation
293,12-02-23,Denmark,Public administration,DDoS attacks against a Danish government website.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
294,12-02-23,Japan,Manufacturing,Campaign: DDoS attacks against two subdomains of a website of a Japanese electronic technology developer,Disruption,DDoS,NoName057(16),Possible,Russian Federation
295,12-02-23,Russian Federation,Manufacturing,DDoS attack against the website of a Russian metal manufacturing company,Disruption,DDoS,Anonymous Italia,Possible,Italy
296,11-02-23,Latvia,Transportation,Campaign: DDoS attacks against two subdomains of the website of a Latvian logistics company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
297,11-02-23,Sweden,Public administration,Campaign: DDoS attacks the website and portal of a Swedish government agency,Disruption,DDoS,NoName057(16),Possible,Russian Federation
298,11-02-23,Lithuania,Transportation,DDoS attack against the website of a Lithuanian airport federation,Disruption,DDoS,NoName057(16),Possible,Russian Federation
299,11-02-23,Sweden,ICT,Campaign: DDoS attack against the subdomain of a Swedish information technology company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
300,11-02-23,Latvia,Administrative / Support,Campaign: DDoS attack against the website of a Latvian public utilities commission,Disruption,DDoS,NoName057(16),Possible,Russian Federation
301,11-02-23,Lithuania,Energy,DDoS attack against the website of a Lithuanian energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
302,11-02-23,Poland,Nonprofit,DDoS attack against the website of a Polish nonprofit,Disruption,DDoS,Cyber Cat,Possible,United States
303,11-02-23,Estonia,Nonprofit,DDoS attack against the website of an Estonian nonprofit.,Disruption,DDoS,Cyber Cat,Possible,United States
304,11-02-23,Russian Federation,Trade,DDoS attack against the website of a Russian shopping centre,Disruption,DDoS,Anonymous Italia,Possible,Italy
305,10-02-23,Lithuania,Transportation,"Campaign: DDoS attacks against the websites of three Lithuanian airports, one Lithuanian ferry service and one Lithuanian port",Disruption,DDoS,NoName057(16),Possible,Russian Federation
306,10-02-23,Bulgaria,Public administration,DDoS attack against a Bulgarian government website,Disruption,DDoS,National Hackers of Russia (HXP),Confirmed,Russian Federation
307,10-02-23,Poland,Public administration,DDoS attacks against a Polish government website and a Polish government platform,Disruption,DDoS,NoName057(16),Possible,Russian Federation
308,10-02-23,Sweden,Public administration,DDoS attack against the website of a Swedish government agency,Disruption,DDoS,NoName057(16),Possible,Russian Federation
309,09-02-23,Latvia,Trade,DDoS attack against a Latvian online shopping website,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
310,09-02-23,Sweden,Financial,Campaign: DDoS attack against the website of a Swedish B2B online directory.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
311,09-02-23,United States,ICT,DDoS attack against a subdomain of a US web services provider.,Disruption,DDoS,Mirai,Possible,Russian Federation
312,09-02-23,Luxembourg,ICT,DDoS attack against the website and subdomain of a telecommunications application.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
313,09-02-23,Sweden,Public administration,Campaign: DDoS attacks against the websites of two Swedish government agencies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
314,09-02-23,Germany,Media,DDoS attack against a German social networking website,Disruption,DDoS,KillNet,Possible,Russian Federation
315,09-02-23,Poland,Public administration,DDoS attacks against the website and subdomain of a Polish government committee,Disruption,DDoS,NoName057(16),Possible,Russian Federation
316,09-02-23,Sweden,ICT,Campaign: DDoS attacks against the website and two subdomains of a Swedish post and telecommunications agency,Disruption,DDoS,NoName057(16),Possible,Russian Federation
317,08-02-23,Poland,Administrative / Support,Campaign: DDoS attack against the Polish website of an information services company.,Disruption,DDoS,Mirai,Possible,Russian Federation
318,08-02-23,United Kingdom,Energy,Campaign: DDoS attacks against the website and two subdomains of one British energy company and the website of another British energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
319,08-02-23,Poland,Professional / scientific,Campaign: DDoS attacks against two Polish legal services website,Disruption,DDoS,Mirai,Possible,Russian Federation
320,08-02-23,Poland,Administrative / Support,Campaign: DDoS attack against a Polish government website,Disruption,DDoS,Mirai,Possible,Russian Federation
321,08-02-23,Germany,ICT,DDoS attack against the website of a German Internet services provider,Disruption,DDoS,Netside Group,Possible,Russian Federation
322,08-02-23,Sweden,Professional / scientific,Campaign: DDoS attacks against the website and subdomain of a Swedish research institute,Disruption,DDoS,NoName057(16),Possible,Russian Federation
323,08-02-23,Sweden,Media,Campaign: DDoS attack against the subdomain of a Swedish news agency,Disruption,DDoS,NoName057(16),Possible,Russian Federation
324,08-02-23,Estonia,Manufacturing,DDoS attack against the website of an Estonian robotic vehicle manufacturer,Disruption,DDoS,Netside Group,Possible,Russian Federation
325,08-02-23,Latvia,Public administration,DDoS attack against the website of Latvia's parliament,Disruption,DDoS,Netside Group,Possible,Russian Federation
326,08-02-23,Russian Federation,Energy,DDoS attack against the website of a Russian electricity company,Disruption,DDoS,Anonymous Italia,Possible,Italy
327,07-02-23,Austria,ICT,Campaign: DDoS attack against the website of an Austrain telecommunications company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
328,07-02-23,Germany,ICT,Campaign: DDoS attack against the website of a German Internet exchange point.,Disruption,DDoS,Bear IT Army,Possible,Russian Federation
329,07-02-23,Sweden,Trade,DDoS attack against the online customer forum of a Swedish alcohol seller,Disruption,DDoS,NoName057(16),Possible,Russian Federation
330,07-02-23,Germany,Manufacturing,Campaign: DDoS attack against the website of a German small arms manufacturer,Disruption,DDoS,Bear IT Army,Possible,Russian Federation
331,07-02-23,Sweden,ICT,DDoS attack against the subdomain of a Swedish telecommunications company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
332,07-02-23,Germany,Media,Campaign: DDoS attack against the website of a German media,Disruption,DDoS,Bear IT Army,Possible,Russian Federation
333,07-02-23,Austria,Energy,Campaign: DDoS attack against the portal of an Austrian energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
334,07-02-23,Austria,Public administration,Campaign: DDoS attacks against one Austrian government website and one Austrian government platform,Disruption,DDoS,NoName057(16),Possible,Russian Federation
335,07-02-23,United States,Financial,DDoS attack against the website of a US bank,Disruption,DDoS,Mirai,Possible,Russian Federation
336,07-02-23,Germany,Manufacturing,DDoS attack against the website of a German automobile manufacturer,Disruption,DDoS,Mirai,Possible,Russian Federation
337,07-02-23,Ukraine,Unknown,Campaign: New information stealing malware deployed against targets in Ukraine,Data,Malware,DEV-0586,Probable,Russian Federation
338,06-02-23,United States,Public administration,DDoS attack against the website of a US government agency,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
339,06-02-23,Germany,Health,Campaign: DDoS attacks against the websites of three German suicide help centers,Disruption,DDoS,Phoenix,Possible,Ukraine
340,06-02-23,Latvia,Energy,DDoS attack against the website of a Latvian energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
341,06-02-23,United States,Financial,DDoS attack against the website of a US bank,Disruption,DDoS,Mirai,Possible,Russian Federation
342,06-02-23,Ukraine,Financial,Campaign: DDoS attacks against the websites of two Ukrainian banks and one Ukrainian financial and investment portal,Disruption,DDoS,Mirai,Possible,Russian Federation
343,06-02-23,United States,ICT,DDoS attacks against the websites of a US video live streaming service and the subdomain of a US web services provider.,Disruption,DDoS,Mirai,Possible,Russian Federation
344,06-02-23,Poland,Public administration,DDoS attack against the subdomain of the website of a Polish ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
345,06-02-23,France,Financial,DDoS attack against the website of a French accounting platform,Disruption,DDoS,Mirai,Possible,Russian Federation
346,06-02-23,Sweden,Transportation,Campaign: DDoS attack against the portal of a Swedish automobile manufacturer,Disruption,DDoS,NoName057(16),Possible,Russian Federation
347,06-02-23,United States,ICT,DDoS attack against the website of a US cybersecurity provider,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
348,06-02-23,United States,ICT,DDoS attack against the website of a US technology company's online content management,Disruption,DDoS,Netside Group,Possible,Russian Federation
349,06-02-23,Latvia,Financial,DDoS attack against the website of a Latvian financial institution,Disruption,DDoS,NoName057(16),Possible,Russian Federation
350,06-02-23,Sweden,ICT,Campaign: DDoS attacks against the website and portal of a Swedish technology company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
351,06-02-23,Russian Federation,Energy,DDoS attack against the website of a Russian gas company,Disruption,DDoS,Anonymous Italia,Possible,Italy
352,05-02-23,Ukraine,Public administration,Campaign: Cyberespionage campaign against Ukrainian public administrations,Data,Cyberespionage,UAC-0050,Confirmed,Russian Federation
353,05-02-23,Ukraine,Media,DDoS attack against the website of a Ukrainian newspaper,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
354,04-02-23,Ukraine,Nonprofit,DDoS attack against the website of a Ukrainian non-profit Union,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
355,04-02-23,Lithuania,Transportation,DDoS attack against the website of a Lithuanian logisitics company,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
356,04-02-23,Ukraine,Education,Campaign: DDoS attacks against six Ukrainian academic institutions,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
357,04-02-23,Ukraine,Financial,Campaign: DDoS attack against the website of a Ukrainian bank,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
358,04-02-23,Ukraine,Trade,DDoS attack against the website of a Ukrainian trading company,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
359,04-02-23,Ukraine,Agriculture,DDoS attack against the website of a Ukrainian consulting agency,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
360,04-02-23,Poland,Public administration,DDoS attack against the website of the Polish police,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
361,04-02-23,Poland,Public administration,DDoS attack against the website of the President of Poland,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
362,04-02-23,Moldova,Media,DDoS attack against the website of a Moldovan media company,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
363,04-02-23,Poland,Administrative / Support,DDoS attack against a Polish website providing information to international students,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
364,04-02-23,Ukraine,ICT,DDoS attack against the website of a Ukrainian cybersecurity company,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
365,04-02-23,Ukraine,Professional / scientific,DDoS attack against the website of a Ukrainian online journal,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
366,03-02-23,Ukraine,Public administration,Campaign: DDoS attacks against eight Ukrainian governmental websites,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
367,03-02-23,Ukraine,ICT,DDoS attack against the website of a Ukrainian Internet service provider,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
368,03-02-23,United States,ICT,Campaign: DDoS attacks against the websites of two US telecom companies,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
369,03-02-23,Lithuania,Media,DDoS attack against the website of a Lithuanian magazine,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
370,03-02-23,Lithuania,Public administration,DDoS attack against the website of Lithuania's parliament,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
371,03-02-23,United States,ICT,Campaign: DDoS attack against US search engine website,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
372,03-02-23,Germany,Health,DDoS attack against the website of a German suicide help center,Disruption,DDoS,Phoenix,Possible,Ukraine
373,03-02-23,Russian Federation,Trade,Campaign: DDoS attack against the websites of three Russian e-shops,Disruption,DDoS,IT Army of Ukraine,Possible,Ukraine
374,03-02-23,Russian Federation,Administrative / Support,Campaign: DDoS attack against the website of a Russian toll system,Disruption,DDoS,IT Army of Ukraine,Possible,Ukraine
375,03-02-23,Ukraine,Nonprofit,Campaign: DDoS attack against the websites of three Ukrainian humanitarian funds,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
376,03-02-23,United States,Transportation,Campaign: DDoS attack against the website of a US postal Service,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
377,03-02-23,Russian Federation,ICT,DDoS attack against the website of a Russian software engineering company,Disruption,DDoS,Anonymous Italia,Possible,Italy
378,02-02-23,Germany,Health,DDoS attack against the website of a German suicide help center,Disruption,DDoS,Phoenix,Possible,Ukraine
379,01-02-23,United States,Financial,Campaign: DDoS attack against the website of a US payment platform,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
380,01-02-23,United States,Health,Campaign: DDoS attacks against seven US Hospital/Healthcare websites and subdomains,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
381,01-02-23,United States,ICT,Campaign: DDoS attack against a US tech company website,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
382,01-02-23,United States,Public administration,Campaign: DDoS attack against US Government website,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
383,01-02-23,United States,Financial,Campaign: DDoS attack against the website of a US bank,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
384,01-02-23,United States,Media,Campaign: DDoS attack against a social media website,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
385,31-01-23,Ukraine,Unknown,Campaign: Phishing web pages imitating Ukrainian and Polish governmental web pages were discovered,Data,Malware,Winter Vivern,Confirmed,Russian Federation
386,31-01-23,Poland,Unknown,Campaign: Phishing campaign distributing an info stealing malware targets Polish entities,Data,Malware,Winter Vivern,Confirmed,Russian Federation
387,30-01-23,United States,Health,"Campaign: DDoS attacks against the websites of four US regional healthcare services, two hospitals and one clinic",Disruption,DDoS,Anonymous Sudan,Possible,Sudan
388,30-01-23,United States,Health,DDoS attack against the website of a US hospital,Disruption,DDoS,Phoenix,Possible,Ukraine
389,30-01-23,Germany,Health,Campaign: DDoS attacks against the websites of three German hospitals,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
390,30-01-23,Russian Federation,ICT,Hack and Leak operation against Russian internet provider,Data,Hack And Leak,Anonymous,Possible,Other
391,30-01-23,United States,Health,DDoS attack against the website of a US hospital,Disruption,DDoS,Phoenix,Possible,Ukraine
392,29-01-23,Netherlands,Public administration,DDoS attack against the website of the Dutch CERT for Health,Disruption,DDoS,Mirai,Possible,Russian Federation
393,29-01-23,Spain,Health,Campaign: DDoS attacks against the website of a Spanish regional healthcare service and the websites of two Spanish hospitals,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
394,29-01-23,United States,Education,DDoS attack against a US school's website,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
395,29-01-23,Ukraine,Other service,DDoS attack against the most popular Ukrainian website for software developers,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
396,29-01-23,United States,Health,Campaign: DDoS attacks against the websites of four US regional healthcare providers and four US university hospitals,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
397,29-01-23,United States,Health,Campaign: DDoS attacks against the websites of two US Hospitals and four US medical centers,Disruption,DDoS,KillNet,Possible,Russian Federation
398,29-01-23,Netherlands,Health,DDoS attack against a Dutch hospital's website,Disruption,DDoS,Anonymous Sudan,Confirmed,Sudan
399,29-01-23,Ukraine,Energy,Campaign: DDoS attack against the website of the Ukrainian electricity distribution system operator,Disruption,DDoS,NoName057(16),Possible,Russian Federation
400,29-01-23,Ukraine,Administrative / Support,Campaign: DDoS attack against the website of a Ukrainian energy meter provider.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
401,29-01-23,Ukraine,Financial,Campaign: DDoS attack against the website of a Ukrainian investment group,Disruption,DDoS,NoName057(16),Possible,Russian Federation
402,29-01-23,Ukraine,ICT,DDoS attack against the website of a Ukrainian Internet service provider,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
403,29-01-23,Germany,Health,DDoS attack against the website of a Russian speaking German medical clinic,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
404,29-01-23,Russian Federation,Transportation,Campaign: Defacement operation against four websites of a Russian press distribution company,Disinformation,Defacement,Anonymous Italia,Confirmed,Italy
405,28-01-23,Netherlands,Health,Campaign: DDoS attacks against the websites of four Dutch hospitals,Disruption,DDoS,Anonymous Sudan,Confirmed,Sudan
406,28-01-23,Russian Federation,Energy,Hack and Leak operation against a Russian energy company,Data,Hack And Leak,IT Army of Ukraine,Possible,Ukraine
407,27-01-23,Netherlands,Health,Campaign: DDoS attacks against the websites of 19 Dutch hospitals,Disruption,DDoS,Anonymous Sudan,Confirmed,Sudan
408,26-01-23,Ukraine,Public administration,DDoS attack against the website of a Ukrainian governmental agency,Disruption,DDoS,Netside Group,Possible,Russian Federation
409,26-01-23,Sweden,Professional / scientific,DDoS attack against the website of a Swedish institute,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
410,26-01-23,Ukraine,Media,Cyberattack against Ukraine's National Information Agency,Destruction,Malware,Sandworm,Confirmed,Russian Federation
411,26-01-23,Netherlands,Transportation,Campaign: DDoS attacks against the websites of four Dutch airports,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
412,25-01-23,United States,Financial,DDoS attack against the website of a US payment platform,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
413,25-01-23,United States,ICT,DDoS attack against the subdomain of the website of an organization providing Voice over Internet Protocol services,Disruption,DDoS,Netside Group,Possible,Russian Federation
414,24-01-23,Germany,Professional / scientific,Campaign: DDoS attacks against the websites of two German entities operating in the scientific sector,Disruption,DDoS,Phoenix,Possible,Ukraine
415,24-01-23,Germany,Public administration,DDoS attack against the website of the Federal Government of Germany,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
416,24-01-23,Germany,Transportation,Campaign: DDoS attacks against the websites of three German airports,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
417,24-01-23,Germany,Public administration,DDoS attack against the website of a German government agency,Disruption,DDoS,Netside Group,Possible,Russian Federation
418,24-01-23,Ukraine,Unknown,Ukrainian organization targeted with SwiftSlicer wiper malware,Destruction,Malware,Sandworm,Probable,Russian Federation
419,24-01-23,Germany,Administrative / Support,Campaign: DDoS attack against the official Federal information website of Germany,Disruption,DDoS,Phoenix,Possible,Ukraine
420,24-01-23,Germany,Energy,Campaign: DDoS attacks against the websites of two German entities operating in the energy sector,Disruption,DDoS,Phoenix,Possible,Ukraine
421,24-01-23,Russian Federation,Media,Defacement of Russian federal TV channels,Disinformation,Defacement,,Confirmed,No Nationality Found
422,24-01-23,Germany,Financial,Campaign: DDoS attack against the website of a German bank,Disruption,DDoS,Phoenix,Possible,Ukraine
423,24-01-23,Germany,Transportation,DDoS attack against the website of a German airport,Disruption,DDoS,Netside Group,Possible,Russian Federation
424,24-01-23,Germany,Financial,DDoS attack against the website of a German bank,Disruption,DDoS,Netside Group,Possible,Russian Federation
425,23-01-23,Germany,Public administration,DDoS attack against the website of a German government agency,Disruption,DDoS,Netside Group,Possible,Russian Federation
426,22-01-23,Ukraine,Public administration,DDoS attack against an online resource of a Ukrainian ministry,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
427,22-01-23,Ukraine,Public administration,DDoS attack against an online resource of a Ukrainian ministry,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
428,22-01-23,Estonia,Administrative / Support,Campaign: DDoS attack against the website of a governmental web resource providing information on Estonia's municipalities,Disruption,DDoS,NoName057(16),Possible,Russian Federation
429,22-01-23,Germany,Manufacturing,DDoS attack against the website of a German military equipment manufacturer,Disruption,DDoS,Netside Group,Possible,Russian Federation
430,22-01-23,Estonia,Financial,Campaign: DDoS attacks against the websites and subdomains of three Estonian banks,Disruption,DDoS,NoName057(16),Possible,Russian Federation
431,22-01-23,Czech Republic,ICT,Campaign: Two days of DDoS attacks against the subdomains of a Czech cybersecurity company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
432,22-01-23,Lithuania,Civilians,Campaign: phishing campaign against Ukrainian refugees in Lithuania,Data,Phishing,,Possible,No Nationality Found
433,22-01-23,Estonia,Public administration,Campaign: DDoS attack against the website of an Estonian ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
434,22-01-23,Ukraine,Public administration,DDoS attack against the website of the Ukrainian Parliament,Disruption,DDoS,Netside Group,Possible,Russian Federation
435,21-01-23,Lithuania,Administrative / Support,DDoS attack against the website of a Lithuanian register providing information on granted state aid,Disruption,DDoS,Bear IT Army,Possible,Russian Federation
436,21-01-23,Germany,Manufacturing,DDoS attack against the website of a German manufacturer,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
437,20-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of eight Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
438,20-01-23,Germany,Manufacturing,DDoS attacks against the website of a German manufacturing company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
439,19-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against five Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
440,19-01-23,Czech Republic,Administrative / Support,Campaign: DDoS attack against the website of a Czech blockchain technology company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
441,19-01-23,Russian Federation,Financial,Defacement operation against the website of a Russian investment company,Disinformation,Defacement,Anonymous Italia,Confirmed,Italy
442,18-01-23,Ukraine,Trade,DDoS attack against the website of a Ukrainian trading company,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
443,18-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against two Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
444,18-01-23,Czech Republic,Public administration,Campaign: DDoS attacks against the websites of three Czech ministries,Disruption,DDoS,NoName057(16),Confirmed,Russian Federation
445,18-01-23,Ukraine,Trade,DDoS attack against a Ukrainian state-owned foreign trade enterprise's website,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
446,17-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of three Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
447,17-01-23,Ukraine,Manufacturing,DDoS attack against the website of a Ukrainian company producing medicinal products,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
448,17-01-23,Czech Republic,Administrative / Support,Campaign: DDoS attack against the website of a Government trade promotion agency of the Czech Republic,Disruption,DDoS,NoName057(16),Possible,Russian Federation
449,17-01-23,Czech Republic,Public administration,Campaign: DDoS attacks against the website and subdomains of a Czech ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
450,16-01-23,South Korea,Manufacturing,Hack and leak operation against a South Korean multinational manufacturing conglomerate,Data,Hack And Leak,Genesis Day,Possible,Russian Federation
451,16-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of seven Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
452,16-01-23,Ukraine,Public administration,Cyberattack against the Ukrainian National Information Agency,Disruption,Wiper,Sandworm,Confirmed,Russian Federation
453,15-01-23,United States,Public administration,Hack and leak operation against a US federal agency.,Data,Hack And Leak,Anonymous Russia,Possible,Russian Federation
454,15-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of seven Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
455,14-01-23,Denmark,Public administration,Campaign: DDoS attack against the website of a Danish ministry.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
456,14-01-23,Denmark,Financial,Campaign: DDoS attacks against the website and subdomains of a Danish bank,Disruption,DDoS,NoName057(16),Possible,Russian Federation
457,13-01-23,Slovakia,Media,Campaign: DDoS attacks against the websites of four Slovakian TV channels.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
458,13-01-23,Czech Republic,Administrative / Support,Campaign: Two days of DDoS attacks against the Czech statistical office.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
459,13-01-23,Czech Republic,Media,DDoS attack against the website of a Czech TV channel.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
460,13-01-23,Slovakia,Financial,Campaign: DDoS attacks against the websites of two Slovakian banks,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
461,13-01-23,Denmark,Financial,Campaign: Two days of DDoS attacks against the website and subdomains of a Danish bank.,Disruption,DDoS,NoName057(16),Confirmed,Russian Federation
462,12-01-23,Czech Republic,Public administration,DDoS attack against the website of a Czech presidential candidate.,Disruption,DDoS,NoName057(16),Confirmed,Russian Federation
463,12-01-23,Ukraine,Administrative / Support,DDoS attack against the website of a Ukrainian insurance company,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
464,12-01-23,Slovakia,Financial,Campaign: DDoS attacks against the websites of two Slovak organizations operating in the Financial sector.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
465,12-01-23,Denmark,Public administration,DDoS attack against the website of a Danish ministry.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
466,12-01-23,Slovakia,Public administration,Campaign: DDoS attacks against the websites of seven Slovakian public institutions.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
467,12-01-23,Russian Federation,Civilians,Campaign: Phishing campaign against Russian citizens,Data,Phishing,,Possible,No Nationality Found
468,11-01-23,Poland,Public administration,Campaign: DDoS attacks against the websites of six Polish public administrations.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
469,11-01-23,Czech Republic,Public administration,Campaign: Two days of DDoS attacks against the website and two subdomains of a Czech ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
470,11-01-23,Czech Republic,Nonprofit,Campaign: Three-day DDoS attacks against a Czech nonprofit.,Disruption,DDoS,NoName057(16),Confirmed,Russian Federation
471,11-01-23,Czech Republic,Administrative / Support,Campaign: DDoS attacks against the websites of two Czech organizations providing information on the presidential elections.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
472,10-01-23,Denmark,Public administration,DDoS attack against the website of a Danish ministry.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
473,10-01-23,Lithuania,Public administration,DDoS attack against the website of a Lithuanian ministry,Disruption,DDoS,Bear IT Army,Possible,Russian Federation
474,10-01-23,Czech Republic,Public administration,DDoS attack against the website of a Czech presidential candidate.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
475,10-01-23,Denmark,Financial,DDoS attack against a subdomain of a Danish bank.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
476,10-01-23,Czech Republic,Public administration,DDoS attack against the website of a Czech presidential candidate.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
477,09-01-23,Denmark,Financial,"Campaign: DDoS attacks against the websites, and some subdomains, of five Danish banks.",Disruption,DDoS,NoName057(16),Possible,Russian Federation
478,08-01-23,Denmark,Financial,Campaign: DDoS attacks against subdomains of the website of a Danish bank,Disruption,DDoS,NoName057(16),Possible,Russian Federation
