,Date,Country,Sectors,Title,Impact Category,Attack Type,Actor,Certainty,Unnamed: 8
3,01-02-23,United States,Health,Campaign: DDoS attacks against seven US Hospital/Healthcare websites and subdomains,Disruption,DDoS,Anonymous Sudan,Possible,
4,01-02-23,United States,ICT,Campaign: DDoS attack against a US tech company website,Disruption,DDoS,Anonymous Sudan,Possible,
5,01-02-23,United States,Public administration,Campaign: DDoS attack against US Government website,Disruption,DDoS,Anonymous Sudan,Possible,
6,01-02-23,United States,Financial,Campaign: DDoS attack against the website of a US bank,Disruption,DDoS,Anonymous Sudan,Possible,
7,01-02-23,United States,Media,Campaign: DDoS attack against a social media website,Disruption,DDoS,Anonymous Sudan,Possible,
8,31-01-23,Ukraine,Unknown,Campaign: Phishing web pages imitating Ukrainian and Polish governmental web pages were discovered,Data,Malware,Winter Vivern,Confirmed,
9,31-01-23,Poland,Unknown,Campaign: Phishing campaign distributing an info stealing malware targets Polish entities,Data,Malware,Winter Vivern,Confirmed,
0,30-01-23,United States,Health,"Campaign: DDoS attacks against the websites of four US regional healthcare services, two hospitals and one clinic",Disruption,DDoS,Anonymous Sudan,Possible,
1,30-01-23,United States,Health,DDoS attack against the website of a US hospital,Disruption,DDoS,Phoenix,Possible,
2,30-01-23,Germany,Health,Campaign: DDoS attacks against the websites of three German hospitals,Disruption,DDoS,Anonymous Sudan,Possible,
3,30-01-23,Russian Federation,ICT,Hack and Leak operation against Russian internet provider,Data,Hack And Leak,Anonymous,Possible,
4,30-01-23,United States,Health,DDoS attack against the website of a US hospital,Disruption,DDoS,Phoenix,Possible,
5,29-01-23,Netherlands,Public administration,DDoS attack against the website of the Dutch CERT for Health,Disruption,DDoS,Mirai,Possible,
6,29-01-23,Spain,Health,Campaign: DDoS attacks against the website of a Spanish regional healthcare service and the websites of two Spanish hospitals,Disruption,DDoS,Anonymous Sudan,Possible,
7,29-01-23,United States,Education,DDoS attack against a US school's website,Disruption,DDoS,Anonymous Sudan,Possible,
8,29-01-23,Ukraine,Other service,DDoS attack against the most popular Ukrainian website for software developers,Disruption,DDoS,People's CyberArmy,Possible,
9,29-01-23,United States,Health,Campaign: DDoS attacks against the websites of four US regional healthcare providers and four US university hospitals,Disruption,DDoS,Anonymous Russia,Possible,
0,29-01-23,United States,Health,Campaign: DDoS attacks against the websites of two US Hospitals and four US medical centers,Disruption,DDoS,KillNet,Possible,
1,29-01-23,Netherlands,Health,DDoS attack against a Dutch hospital's website,Disruption,DDoS,Anonymous Sudan,Confirmed,
2,29-01-23,Ukraine,Energy,Campaign: DDoS attack against the website of the Ukrainian electricity distribution system operator,Disruption,DDoS,NoName057(16),Possible,
3,29-01-23,Ukraine,Administrative / Support,Campaign: DDoS attack against the website of a Ukrainian energy meter provider.,Disruption,DDoS,NoName057(16),Possible,
4,29-01-23,Ukraine,Financial,Campaign: DDoS attack against the website of a Ukrainian investment group,Disruption,DDoS,NoName057(16),Possible,
5,29-01-23,Ukraine,ICT,DDoS attack against the website of a Ukrainian Internet service provider,Disruption,DDoS,People's CyberArmy,Possible,
6,29-01-23,Germany,Health,DDoS attack against the website of a Russian speaking German medical clinic,Disruption,DDoS,Anonymous Sudan,Possible,
7,29-01-23,Russian Federation,Transportation,Campaign: Defacement operation against four websites of a Russian press distribution company,Disinformation,Defacement,Anonymous Italia,Confirmed,
8,28-01-23,Netherlands,Health,Campaign: DDoS attacks against the websites of four Dutch hospitals,Disruption,DDoS,Anonymous Sudan,Confirmed,
9,28-01-23,Russian Federation,Energy,Hack and Leak operation against a Russian energy company,Data,Hack And Leak,IT Army of Ukraine,Possible,
0,27-01-23,Netherlands,Health,Campaign: DDoS attacks against the websites of 19 Dutch hospitals,Disruption,DDoS,Anonymous Sudan,Confirmed,
1,26-01-23,Ukraine,Public administration,DDoS attack against the website of a Ukrainian governmental agency,Disruption,DDoS,Netside Group,Possible,
2,26-01-23,Sweden,Professional / scientific,DDoS attack against the website of a Swedish institute,Disruption,DDoS,People's CyberArmy,Possible,
3,26-01-23,Ukraine,Media,Cyberattack against Ukraine's National Information Agency,Destruction,Malware,Sandworm,Confirmed,
4,26-01-23,Netherlands,Transportation,Campaign: DDoS attacks against the websites of four Dutch airports,Disruption,DDoS,Anonymous Sudan,Possible,
5,25-01-23,United States,Financial,DDoS attack against the website of a US payment platform,Disruption,DDoS,Anonymous Sudan,Possible,
6,25-01-23,United States,ICT,DDoS attack against the subdomain of the website of an organization providing Voice over Internet Protocol services,Disruption,DDoS,Netside Group,Possible,
7,24-01-23,Germany,Professional / scientific,Campaign: DDoS attacks against the websites of two German entities operating in the scientific sector,Disruption,DDoS,Phoenix,Possible,
8,24-01-23,Germany,Public administration,DDoS attack against the website of the Federal Government of Germany,Disruption,DDoS,Anonymous Sudan,Possible,
9,24-01-23,Germany,Transportation,Campaign: DDoS attacks against the websites of three German airports,Disruption,DDoS,Anonymous Sudan,Possible,
0,24-01-23,Germany,Public administration,DDoS attack against the website of a German government agency,Disruption,DDoS,Netside Group,Possible,
1,24-01-23,Ukraine,Unknown,Ukrainian organization targeted with SwiftSlicer wiper malware,Destruction,Malware,Sandworm,Probable,
2,24-01-23,Germany,Administrative / Support,Campaign: DDoS attack against the official Federal information website of Germany,Disruption,DDoS,Phoenix,Possible,
3,24-01-23,Germany,Energy,Campaign: DDoS attacks against the websites of two German entities operating in the energy sector,Disruption,DDoS,Phoenix,Possible,
4,24-01-23,Russian Federation,Media,Defacement of Russian federal TV channels,Disinformation,Defacement,,Confirmed,
5,24-01-23,Germany,Financial,Campaign: DDoS attack against the website of a German bank,Disruption,DDoS,Phoenix,Possible,
6,24-01-23,Germany,Transportation,DDoS attack against the website of a German airport,Disruption,DDoS,Netside Group,Possible,
7,24-01-23,Germany,Financial,DDoS attack against the website of a German bank,Disruption,DDoS,Netside Group,Possible,
8,23-01-23,Germany,Public administration,DDoS attack against the website of a German government agency,Disruption,DDoS,Netside Group,Possible,
9,22-01-23,Ukraine,Public administration,DDoS attack against an online resource of a Ukrainian ministry,Disruption,DDoS,People's CyberArmy,Possible,
0,22-01-23,Ukraine,Public administration,DDoS attack against an online resource of a Ukrainian ministry,Disruption,DDoS,People's CyberArmy,Possible,
1,22-01-23,Estonia,Administrative / Support,Campaign: DDoS attack against the website of a governmental web resource providing information on Estonia's municipalities,Disruption,DDoS,NoName057(16),Possible,
2,22-01-23,Germany,Manufacturing,DDoS attack against the website of a German military equipment manufacturer,Disruption,DDoS,Netside Group,Possible,
3,22-01-23,Estonia,Financial,Campaign: DDoS attacks against the websites and subdomains of three Estonian banks,Disruption,DDoS,NoName057(16),Possible,
4,22-01-23,Czech Republic,ICT,Campaign: Two days of DDoS attacks against the subdomains of a Czech cybersecurity company,Disruption,DDoS,NoName057(16),Possible,
5,22-01-23,Lithuania,Civilians,Campaign: phishing campaign against Ukrainian refugees in Lithuania,Data,Phishing,,Possible,
6,22-01-23,Estonia,Public administration,Campaign: DDoS attack against the website of an Estonian ministry,Disruption,DDoS,NoName057(16),Possible,
7,22-01-23,Ukraine,Public administration,DDoS attack against the website of the Ukrainian Parliament,Disruption,DDoS,Netside Group,Possible,
8,21-01-23,Lithuania,Administrative / Support,DDoS attack against the website of a Lithuanian register providing information on granted state aid,Disruption,DDoS,Bear IT Army,Possible,
9,21-01-23,Germany,Manufacturing,DDoS attack against the website of a German manufacturer,Disruption,DDoS,Anonymous Russia,Possible,
0,20-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of eight Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,
1,20-01-23,Germany,Manufacturing,DDoS attacks against the website of a German manufacturing company,Disruption,DDoS,NoName057(16),Possible,
2,19-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against five Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,
3,19-01-23,Czech Republic,Administrative / Support,Campaign: DDoS attack against the website of a Czech blockchain technology company,Disruption,DDoS,NoName057(16),Possible,
4,19-01-23,Russian Federation,Financial,Defacement operation against the website of a Russian investment company,Disinformation,Defacement,Anonymous Italia,Confirmed,
5,18-01-23,Ukraine,Trade,DDoS attack against the website of a Ukrainian trading company,Disruption,DDoS,People's CyberArmy,Possible,
6,18-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against two Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,
7,18-01-23,Czech Republic,Public administration,Campaign: DDoS attacks against the websites of three Czech ministries,Disruption,DDoS,NoName057(16),Confirmed,
8,18-01-23,Ukraine,Trade,DDoS attack against a Ukrainian state-owned foreign trade enterprise's website,Disruption,DDoS,People's CyberArmy,Possible,
9,17-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of three Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,
0,17-01-23,Ukraine,Manufacturing,DDoS attack against the website of a Ukrainian company producing medicinal products,Disruption,DDoS,People's CyberArmy,Possible,
1,17-01-23,Czech Republic,Administrative / Support,Campaign: DDoS attack against the website of a Government trade promotion agency of the Czech Republic,Disruption,DDoS,NoName057(16),Possible,
2,17-01-23,Czech Republic,Public administration,Campaign: DDoS attacks against the website and subdomains of a Czech ministry,Disruption,DDoS,NoName057(16),Possible,
3,16-01-23,South Korea,Manufacturing,Hack and leak operation against a South Korean multinational manufacturing conglomerate,Data,Hack And Leak,Genesis Day,Possible,
4,16-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of seven Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,
5,16-01-23,Ukraine,Public administration,Cyberattack against the Ukrainian National Information Agency,Disruption,Wiper,Sandworm,Confirmed,
6,15-01-23,United States,Public administration,Hack and leak operation against a US federal agency.,Data,Hack And Leak,Anonymous Russia,Possible,
7,15-01-23,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of seven Czech manufacturing companies,Disruption,DDoS,NoName057(16),Possible,
8,14-01-23,Denmark,Public administration,Campaign: DDoS attack against the website of a Danish ministry.,Disruption,DDoS,NoName057(16),Possible,
9,14-01-23,Denmark,Financial,Campaign: DDoS attacks against the website and subdomains of a Danish bank,Disruption,DDoS,NoName057(16),Possible,
0,13-01-23,Slovakia,Media,Campaign: DDoS attacks against the websites of four Slovakian TV channels.,Disruption,DDoS,Anonymous Russia,Possible,
1,13-01-23,Czech Republic,Administrative / Support,Campaign: Two days of DDoS attacks against the Czech statistical office.,Disruption,DDoS,NoName057(16),Possible,
2,13-01-23,Czech Republic,Media,DDoS attack against the website of a Czech TV channel.,Disruption,DDoS,Anonymous Russia,Possible,
3,13-01-23,Slovakia,Financial,Campaign: DDoS attacks against the websites of two Slovakian banks,Disruption,DDoS,Anonymous Russia,Possible,
4,13-01-23,Denmark,Financial,Campaign: Two days of DDoS attacks against the website and subdomains of a Danish bank.,Disruption,DDoS,NoName057(16),Confirmed,
5,12-01-23,Czech Republic,Public administration,DDoS attack against the website of a Czech presidential candidate.,Disruption,DDoS,NoName057(16),Confirmed,
6,12-01-23,Ukraine,Administrative / Support,DDoS attack against the website of a Ukrainian insurance company,Disruption,DDoS,People's CyberArmy,Possible,
7,12-01-23,Slovakia,Financial,Campaign: DDoS attacks against the websites of two Slovak organizations operating in the Financial sector.,Disruption,DDoS,Anonymous Russia,Possible,
8,12-01-23,Denmark,Public administration,DDoS attack against the website of a Danish ministry.,Disruption,DDoS,NoName057(16),Possible,
9,12-01-23,Slovakia,Public administration,Campaign: DDoS attacks against the websites of seven Slovakian public institutions.,Disruption,DDoS,Anonymous Russia,Possible,
0,12-01-23,Russian Federation,Civilians,Campaign: Phishing campaign against Russian citizens,Data,Phishing,,Possible,
1,11-01-23,Poland,Public administration,Campaign: DDoS attacks against the websites of six Polish public administrations.,Disruption,DDoS,Anonymous Russia,Possible,
2,11-01-23,Czech Republic,Public administration,Campaign: Two days of DDoS attacks against the website and two subdomains of a Czech ministry,Disruption,DDoS,NoName057(16),Possible,
3,11-01-23,Czech Republic,Nonprofit,Campaign: Three-day DDoS attacks against a Czech nonprofit.,Disruption,DDoS,NoName057(16),Confirmed,
4,11-01-23,Czech Republic,Administrative / Support,Campaign: DDoS attacks against the websites of two Czech organizations providing information on the presidential elections.,Disruption,DDoS,NoName057(16),Possible,
5,10-01-23,Denmark,Public administration,DDoS attack against the website of a Danish ministry.,Disruption,DDoS,NoName057(16),Possible,
6,10-01-23,Lithuania,Public administration,DDoS attack against the website of a Lithuanian ministry,Disruption,DDoS,Bear IT Army,Possible,
7,10-01-23,Czech Republic,Public administration,DDoS attack against the website of a Czech presidential candidate.,Disruption,DDoS,NoName057(16),Possible,
8,10-01-23,Denmark,Financial,DDoS attack against a subdomain of a Danish bank.,Disruption,DDoS,NoName057(16),Possible,
9,10-01-23,Czech Republic,Public administration,DDoS attack against the website of a Czech presidential candidate.,Disruption,DDoS,NoName057(16),Possible,
0,09-01-23,Denmark,Financial,"Campaign: DDoS attacks against the websites, and some subdomains, of five Danish banks.",Disruption,DDoS,NoName057(16),Possible,
1,08-01-23,Denmark,Financial,Campaign: DDoS attacks against subdomains of the website of a Danish bank,Disruption,DDoS,NoName057(16),Possible,
2,07-01-23,Lithuania,Transportation,Campaign: DDoS attacks against the websites of four Lithuanian logistics companies.,Disruption,DDoS,NoName057(16),Possible,
3,07-01-23,Estonia,Transportation,DDoS attack against the website of Estonia's railways,Disruption,DDoS,NoName057(16),Possible,
4,07-01-23,Poland,Manufacturing,Campaign: DDoS attack against the website of a Polish weapons manufacturer.,Disruption,DDoS,NoName057(16),Possible,
5,07-01-23,Poland,Public administration,Campaign: DDoS attacks against the websites of two Polish public institutions,Disruption,DDoS,NoName057(16),Possible,
6,06-01-23,Latvia,Public administration,DDoS attack against the website of Latvia's financial intelligence services.,Disruption,DDoS,NoName057(16),Possible,
7,06-01-23,Poland,Administrative / Support,DDoS attack against a Polish railways tickets portal.,Disruption,DDoS,NoName057(16),Possible,
8,06-01-23,Lithuania,Transportation,DDoS attacks against two subdomains of the website of a Lithuanian logistics company,Disruption,DDoS,NoName057(16),Possible,
9,06-01-23,Latvia,Transportation,DDoS attack against the website of a Latvian freight carrier.,Disruption,DDoS,NoName057(16),Possible,
0,06-01-23,Poland,Transportation,DDoS attack against a Polish logistics company.,Disruption,DDoS,NoName057(16),Possible,
1,06-01-23,Lithuania,Transportation,DDoS attack against the website of a Lithuanian logistics company,Disruption,DDoS,NoName057(16),Possible,
2,05-01-23,Lithuania,Transportation,Campaign: DDoS attacks against the websites of three Lithuanian logistics companies.,Disruption,DDoS,NoName057(16),Possible,
3,05-01-23,Latvia,Manufacturing,DDoS attack against the website and one subdomain of a Latvian ship repairment company,Disruption,DDoS,NoName057(16),Possible,
4,05-01-23,Lithuania,ICT,Campaign: DDoS attack against the website of a Lithuanian data center.,Disruption,DDoS,NoName057(16),Possible,
5,05-01-23,Ukraine,Financial,DDoS attack against the website of a Ukrainian insurance provider,Disruption,DDoS,People's CyberArmy,Possible,
6,04-01-23,Lithuania,Transportation,Campaign: DDoS attacks against the websites of nine Lithuanian logistics companies,Disruption,DDoS,NoName057(16),Possible,
7,04-01-23,Ukraine,ICT,DDoS attack against the website of a Ukrainian mobile operator,Disruption,DDoS,People's CyberArmy,Possible,
8,03-01-23,Lithuania,Transportation,Campaign: DDoS attacks against the websites of four Lithuanian logistics companies.,Disruption,DDoS,NoName057(16),Possible,
9,03-01-23,Ukraine,Energy,DDoS attack against the website of a Ukrainian gas station network,Disruption,DDoS,People's CyberArmy,Possible,
0,02-01-23,Lithuania,Transportation,Campaign: DDoS attacks against the websites of four Lithuanian logistics companies.,Disruption,DDoS,NoName057(16),Possible,
1,02-01-23,Netherlands,ICT,DDoS attack against an online plain text content-hosting service.,Disruption,DDoS,Mirai,Possible,
2,01-01-23,Lithuania,Transportation,Campaign: DDoS attacks against the domain of a Lithuanian-based logistics company.,Disruption,DDoS,NoName057(16),Possible,
3,01-01-23,United States,Other service,DDoS attack against the website of a live streaming video game service.,Disruption,DDoS,Mirai,Possible,
4,01-01-23,Lithuania,Transportation,DDoS attack against the website of a Lithuanian logistics company,Disruption,DDoS,NoName057(16),Possible,
5,31-12-22,Latvia,Transportation,Campaign: DDoS attack against the website of Latvian railways,Disruption,DDoS,NoName057(16),Possible,
6,31-12-22,Latvia,Energy,Campaign: DDoS attack against the website of a Latvian energy production and distribution plant,Disruption,DDoS,NoName057(16),Possible,
7,31-12-22,Latvia,Manufacturing,Campaign: DDoS attack against the website of a Latvian ship repairment company.,Disruption,DDoS,NoName057(16),Possible,
8,31-12-22,Latvia,Public administration,Campaign: DDoS attack against the website of the Latvian electronic auctions portal.,Disruption,DDoS,NoName057(16),Possible,
9,31-12-22,Latvia,Public administration,Campaign: DDoS attack against the website of the Latvian merchants' information processing system.,Disruption,DDoS,NoName057(16),Possible,
0,30-12-22,Russian Federation,Public administration,Campaign: Defacement operations against the websites of at least seven Russian district administrations,Disinformation,Defacement,IT Army of Ukraine,Possible,
1,30-12-22,Latvia,Transportation,DDoS attacks against the website and two subdomains of a Latvian freight carrier,Disruption,DDoS,NoName057(16),Possible,
2,30-12-22,United States,Media,DDoS attack against the website of an online journal providing business information and predictive intelligence.,Disruption,DDoS,Mirai,Possible,
3,29-12-22,Latvia,Transportation,Campaign: DDoS attacks against the domain of Latvia's railways,Disruption,DDoS,NoName057(16),Possible,
4,29-12-22,Ukraine,Financial,DDoS attack against the website of a Ukrainian bank,Disruption,DDoS,People's CyberArmy,Possible,
5,28-12-22,Latvia,Energy,Campaign: DDoS attack against the website of a Latvian energy production and distribution plant,Disruption,DDoS,NoName057(16),Possible,
6,28-12-22,Lithuania,ICT,"DDoS attack against the website, and online resources, of a Lithuanian data logistics center.",Disruption,DDoS,NoName057(16),Possible,
7,28-12-22,Latvia,Manufacturing,Campaign: DDoS attacks against the websites of two Latvian companies engaged in ship repairment,Disruption,DDoS,NoName057(16),Possible,
8,28-12-22,Latvia,Public administration,Campaign: DDoS attack against the website of the Latvian merchants' information processing system.,Disruption,DDoS,NoName057(16),Possible,
9,27-12-22,Ukraine,Financial,DDoS attack against the website of a Ukrainian bank,Disruption,DDoS,People's CyberArmy,Possible,
0,27-12-22,United States,ICT,DDoS attack against the support webpage of a popular search engine.,Disruption,DDoS,Mirai,Possible,
1,27-12-22,Latvia,Public administration,Campaign: DDoS attack against the website of the Latvian electronic auctions portal.,Disruption,DDoS,NoName057(16),Possible,
2,27-12-22,Latvia,Trade,Campaign: DDoS attacks against the websites of two Latvian companies.,Disruption,DDoS,NoName057(16),Possible,
3,27-12-22,Latvia,Energy,Campaign: DDoS attack against Latvia's state-owned energy company.,Disruption,DDoS,NoName057(16),Possible,
4,26-12-22,Latvia,Transportation,Campaign: DDoS attack against the website of a Latvian airline,Disruption,DDoS,NoName057(16),Possible,
5,26-12-22,Latvia,Transportation,Campaign: DDoS attack against the website of a Latvian port,Disruption,DDoS,NoName057(16),Possible,
6,26-12-22,Latvia,Transportation,"Campaign: DDoS attack against the website, and two subdomains, of a Latvian private freight carrier",Disruption,DDoS,NoName057(16),Possible,
7,26-12-22,Latvia,Transportation,Campaign: DDoS attack against the website of a Latvian international airport.,Disruption,DDoS,NoName057(16),Possible,
8,25-12-22,Latvia,Public administration,Campaign: DDoS attack against the website of a Latvian regulatory body.,Disruption,DDoS,NoName057(16),Possible,
9,25-12-22,Latvia,Transportation,Campaign: DDoS attacks against the main website and seven subdomains of Latvia's railways,Disruption,DDoS,NoName057(16),Possible,
0,24-12-22,Poland,Public administration,Campaign: DDoS attacks against the websites of eight Polish public institutions.,Disruption,DDoS,NoName057(16),Possible,
1,23-12-22,Poland,Public administration,Campaign: DDoS attacks against the websites of seven Polish public institutions.,Disruption,DDoS,NoName057(16),Possible,
2,22-12-22,Poland,Public administration,DDoS attack against the website of a Polish court.,Disruption,DDoS,NoName057(16),Possible,
3,22-12-22,Latvia,Nonprofit,DDoS attack against the website of a Latvian charity organization.,Disruption,DDoS,NoName057(16),Confirmed,
4,22-12-22,United Kingdom,Manufacturing,DDoS attack against the website of a British munition manufacturer.,Disruption,DDoS,NoName057(16),Possible,
5,21-12-22,Russian Federation,Professional / scientific,DDoS attack against the servers of a Russian freelancing platform.,Disruption,DDoS,IT Army of Ukraine,Confirmed,
6,21-12-22,Russian Federation,Professional / scientific,DDoS attack against the servers of a Russian freelancing platform.,Disruption,DDoS,IT Army of Ukraine,Probable,
7,20-12-22,Latvia,Public administration,Campaign: DDoS attacks against the websites of three Latvian public institutions.,Disruption,DDoS,NoName057(16),Possible,
8,19-12-22,Latvia,Public administration,DDoS attack against the website of Latvia's financial intelligence services.,Disruption,DDoS,NoName057(16),Possible,
9,19-12-22,Latvia,Administrative / Support,DDoS attack against an online resource of the website of Latvia's police.,Disruption,DDoS,NoName057(16),Possible,
0,19-12-22,Latvia,Public administration,DDoS attack against the website of a Latvian agency responsible for the registration of companies.,Disruption,DDoS,NoName057(16),Possible,
1,18-12-22,Sweden,ICT,DDoS attack against the support webpage of a Swedish audio streaming and media services provider.,Disruption,DDoS,Mirai,Possible,
2,18-12-22,Poland,Manufacturing,DDoS attack against the website of a Polish armament manufacturer.,Disruption,DDoS,NoName057(16),Possible,
3,18-12-22,Lithuania,Energy,DDoS attack against the website of a Lithuanian energy distributor.,Disruption,DDoS,NoName057(16),Possible,
4,17-12-22,Ukraine,Arts,Campaign: DDoS attacks against the websites of three Ukrainian football teams.,Disruption,DDoS,People's CyberArmy,Possible,
5,16-12-22,Poland,Public administration,DDoS attack against the website and IT services of a Polish public institution for the social security system of farmers,Disruption,DDoS,NoName057(16),Possible,
6,15-12-22,Austria,Transportation,"DDoS attack against the website, and nine online resources, of the national railway system of Austria.",Disruption,DDoS,NoName057(16),Possible,
7,14-12-22,Russian Federation,Professional / scientific,DDoS attack against the servers of a Russian freelancing platform.,Disruption,DDoS,IT Army of Ukraine,Possible,
8,14-12-22,Ukraine,Public administration,Campaign: Ukrainian government organizations targeted by a trojanized Windows 10,Data,Malware,UNC4166,Probable,
9,14-12-22,Russian Federation,ICT,Hack and leak operation against a Russian online platform providing travel services,Data,Hack And Leak,NLB,Possible,
0,14-12-22,Poland,Public administration,DDoS attack against the website of the lower house of the Polish parliament,Disruption,DDoS,NoName057(16),Confirmed,
1,13-12-22,Russian Federation,Transportation,"DDoS attack against the website of a Russian application for rides requests, food orders or sending items across town.",Disruption,DDoS,Mirai,Possible,
2,13-12-22,United States,ICT,DDoS attack against the cloud service of a US multinational technology company.,Disruption,DDoS,Mirai,Possible,
3,13-12-22,Russian Federation,Professional / scientific,DDoS attack against the servers of a Russian freelancing platform.,Disruption,DDoS,IT Army of Ukraine,Confirmed,
4,13-12-22,Russian Federation,Arts,DDoS attack against the Russian domain of an online video game,Disruption,DDoS,Mirai,Possible,
5,13-12-22,Germany,Trade,Two DDoS attacks against the German domain of an American e-commerce website,Disruption,DDoS,Mirai,Possible,
6,12-12-22,Ukraine,Trade,DDoS attack against the website of a Ukrainian e-commerce platform,Disruption,DDoS,Mirai,Possible,
7,12-12-22,Russian Federation,ICT,Hack and leak operation against a cloud-based Internet platform of educational institutions in Moscow,Data,Hack And Leak,NLB,Possible,
8,12-12-22,United States,ICT,DDoS attack against the website of a company providing VPN services,Disruption,DDoS,Mirai,Possible,
9,12-12-22,United States,Public administration,"DDoS attack against the website of a US agency responsible for the civil space program, aeronautics research, and space research.",Disruption,DDoS,Mirai,Possible,
0,11-12-22,Finland,Financial,Campaign: DDoS attacks against the websites of six Finnish banks,Disruption,DDoS,Anonymous Russia,Possible,
1,11-12-22,Finland,Administrative / Support,Campaign: DDoS attack against a Finnish website,Disruption,DDoS,Anonymous Russia,Possible,
2,11-12-22,Finland,Construction,Campaign: DDoS attack against the website of a Finnish construction company,Disruption,DDoS,Anonymous Russia,Possible,
3,10-12-22,Belgium,Public administration,DDoS attack against the official website of the European Union,Disruption,DDoS,Anonymous Russia,Possible,
4,10-12-22,Ukraine,ICT,DDoS attack against the website of a Ukrainian company providing ride-hailing services.,Disruption,DDoS,People's CyberArmy,Possible,
5,10-12-22,Belgium,Public administration,DDoS attack against the website of the diplomatic service of the European Union,Disruption,DDoS,Anonymous Russia,Possible,
6,09-12-22,Ukraine,Transportation,DDoS attack against the website of Ukrainian postal services,Disruption,DDoS,People's CyberArmy,Possible,
7,07-12-22,Sweden,ICT,DDoS attack against the web player of a Swedish audio streaming and media services provider,Disruption,DDoS,Anonymous Russia,Possible,
8,07-12-22,United States,Other service,Campaign: DDoS attacks against the website of an online audio distribution platform,Disruption,DDoS,Anonymous Russia,Possible,
9,06-12-22,United States,Manufacturing,Two DDoS attacks against the website of a space technology company,Disruption,DDoS,Anonymous Russia,Possible,
0,05-12-22,Romania,Other service,DDoS attack against a Romanian website providing information on international and Romanian banks,Disruption,DDoS,Russian Hackers Team,Possible,
1,05-12-22,Lithuania,Public administration,DDoS attack against the website of Lithuania's e-government,Disruption,DDoS,NoName057(16),Possible,
2,04-12-22,Lithuania,Transportation,Campaign: DDoS attacks against the website of a Lithuanian port and a company operating on that port,Disruption,DDoS,NoName057(16),Possible,
3,04-12-22,Estonia,Transportation,DDoS attack against the website of Estonia's railways,Disruption,DDoS,NoName057(16),Possible,
4,04-12-22,Lithuania,Transportation,Campaign: DDoS attack against the website of a Lithuanian company providing airplane ticket-purchasing services,Disruption,DDoS,NoName057(16),Possible,
5,04-12-22,Lithuania,Energy,Campaign: DDoS attack against the website of a Lithuanian oil refinery,Disruption,DDoS,NoName057(16),Possible,
6,04-12-22,Lithuania,Financial,Campaign: DDoS attack against the website of a company providing blockchain personal banking,Disruption,DDoS,NoName057(16),Possible,
7,03-12-22,Romania,Accommodation,DDoS attack against the website of a Romanian restaurant,Disruption,DDoS,Russian Hackers Team,Possible,
8,02-12-22,Ukraine,ICT,Campaign: Five DDoS attacks in three days against the website and online sources of a Ukrainian telecommunication company,Disruption,DDoS,NoName057(16),Possible,
9,02-12-22,Poland,Public administration,DDoS attack against the website of the Polish electronic tax and customs services,Disruption,DDoS,NoName057(16),Possible,
0,01-12-22,Estonia,Other service,DDoS attack against an Estonian institution,Disruption,DDoS,NoName057(16),Possible,
1,30-11-22,Poland,Transportation,DDoS attack against the website of a Polish urban railway,Disruption,DDoS,NoName057(16),Possible,
2,29-11-22,Latvia,Public administration,DDoS attack against the website of the state police of Latvia,Disruption,DDoS,KillNet Collective,Possible,
3,29-11-22,Latvia,Administrative / Support,Campaign: DDoS attack against the website of a Latvian qualified electronic signature creation tool provider.,Disruption,DDoS,Anonymous Russia,Possible,
4,29-11-22,Latvia,Administrative / Support,Campaign: DDoS attack against a Latvian portal providing access to state services and local government institutions,Disruption,DDoS,Anonymous Russia,Possible,
5,29-11-22,United Kingdom,Financial,DDoS attack against the website of a British financial service provider,Disruption,DDoS,NoName057(16),Possible,
6,29-11-22,Latvia,Public administration,DDoS attack against the website of a Latvian ministry,Disruption,DDoS,KillNet Collective,Possible,
7,29-11-22,Spain,Public administration,DDoS attack against the website of the president of the Government of Spain and the Council of Ministers,Disruption,DDoS,People's CyberArmy,Possible,
8,29-11-22,Lithuania,Public administration,DDoS attack against Lithuania's e-government website.,Disruption,DDoS,Anonymous Russia,Possible,
9,29-11-22,Latvia,Financial,Campaign: DDoS attacks against the websites of two Latvian banks,Disruption,DDoS,Anonymous Russia,Possible,
0,29-11-22,United Kingdom,Energy,DDoS attack against the website of a British energy company,Disruption,DDoS,NoName057(16),Possible,
1,28-11-22,Russian Federation,Financial,Campaign: DDoS attacks against a Russian bank,Disruption,DDoS,IT Army of Ukraine,Probable,
2,27-11-22,Ukraine,Unknown,Campaign: Ransomware attacks against Ukrainian organizations,Disruption,Malware,Sandworm,Probable,
3,26-11-22,Moldova,Public administration,Campaign: DDoS attacks against the websites of two Moldovan ministries,Disruption,DDoS,Russian Hackers Team,Possible,
